id,name,address,date,status,link
182,"T & L ELECTRICAL ENGINEERING PTE. LTD.","Yishun Street 31, 761333",2008-09-13,Registered,https://opencorpdata.com/sg/200612080M
183,"JTL ENGINEERING (S) PTE. LTD.","Tuas South Avenue 10, 637014",2016-01-26,Registered,https://opencorpdata.com/sg/201602093E
184,"ICON ENGINEERING SERVICES PTE. LTD.","Sungei Kadut Drive, 729563",2008-09-13,Registered,https://opencorpdata.com/sg/200719155C
185,"INNOTEAM ENGINEERING & CONSTRUCTION","Jurong West Street 42, 640547",2008-09-13,Registered,https://opencorpdata.com/sg/53062343M
186,"DST ENGINEERING PTE. LTD.","Short Street, 188216",2016-03-07,Registered,https://opencorpdata.com/sg/201605798K
187,"STSE ENGINEERING SERVICES PTE LTD","Benoi Road, 629882",2008-09-10,Registered,https://opencorpdata.com/sg/199608671D
188,"STRAITS RUBBER & ENGINEERING PLASTIC PTE LTD","Kaki Bukit Road 1, 416175",2008-09-10,Registered,https://opencorpdata.com/sg/199101327H
189,"SIN SENG CIVIL ENGINEERING PTE. LTD.","Yishun Industrial Street 1, 768091",2008-09-09,Registered,https://opencorpdata.com/sg/197901510G
190,"TUAN ENGINEERING (S) PTE LTD","Marsiling Ind Estate Road 3, 739253",2008-09-12,Registered,https://opencorpdata.com/sg/200108296C
191,"LEE SHAN ENGINEERING PTE. LTD.","Short Street, 188216",2016-06-02,Registered,https://opencorpdata.com/sg/201614947G
192,"CRC ENGINEERING PTE. LTD.","Pandan Crescent, 128471",2008-09-09,Registered,https://opencorpdata.com/sg/197300163G
193,"SOON FATT ENGINEERING PTE LTD","Ubi Road 3, 408655",2008-09-09,Registered,https://opencorpdata.com/sg/198403075E
194,"CONCEPT ALLIED ENGINEERING PTE LTD","Balestier Road, 329871",2008-09-12,Registered,https://opencorpdata.com/sg/200002904E
195,"LNE PRECISION ENGINEERING PTE LTD","Woodlands Industrial Park E1, 757743",2008-09-10,Registered,https://opencorpdata.com/sg/199401971E
196,"KOTA ENGINEERING WORKS (PRIVATE) LIMITED","Beach Road, 199589",2008-09-09,Registered,https://opencorpdata.com/sg/198200262M
197,"MOTO ENGINEERING PTE. LTD.","Hoy Fatt Road, 150049",2016-04-07,Registered,https://opencorpdata.com/sg/201609205R
